Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$82,988.14",0.0%,0.6%,0.1%,"$14,189,809,650","$1,647,098,869,378"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,792.97",0.2%,1.1%,2.4%,"$7,057,006,095","$216,369,797,800"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$0.9996,0.0%,0.0%,0.0%,"$20,728,868,216","$144,023,645,468"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.10,0.3%,1.7%,3.7%,"$2,050,599,710","$122,207,591,652"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$589.25,0.2%,1.1%,2.8%,"$397,457,010","$85,964,876,123"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$119.31,0.1%,1.5%,4.9%,"$1,870,145,663","$61,373,050,484"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$2,348,930,783","$60,519,881,641"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1653,0.2%,2.2%,3.0%,"$614,413,133","$24,580,895,334"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6394,0.3%,2.8%,6.1%,"$409,321,971","$23,015,534,230"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.238,0.2%,0.3%,2.8%,"$321,450,114","$22,601,699,425"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,790.66",0.4%,1.1%,2.6%,"$13,608,161","$16,780,248,278"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$82,765.96",0.2%,0.7%,0.1%,"$176,377,266","$10,668,493,899"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.11,0.6%,1.9%,5.6%,"$1,870,009","$8,440,651,657"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.28,1.0%,0.2%,14.9%,"$120,839,620","$8,101,331,770"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$12.65,0.0%,1.6%,7.5%,"$203,371,917","$8,071,800,639"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.0%,0.0%,"$4,115,260","$7,962,621,094"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,142.32",0.4%,1.3%,2.4%,"$14,236,731","$7,687,310,603"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2492,0.5%,2.4%,7.8%,"$153,678,876","$7,669,914,505"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$17.31,0.6%,4.9%,11.0%,"$186,621,774","$7,184,201,108"
