Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$102,736",0.9%,3.1%,6.3%,"$50,664,282,448","$2,041,353,837,137"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,350.03",1.1%,21.3%,29.0%,"$42,843,398,100","$286,009,898,181"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1,0.0%,0.0%,0.0%,"$74,350,112,861","$149,728,427,544"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.36,0.4%,6.7%,6.5%,"$5,997,078,476","$138,048,963,205"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$632.03,0.3%,2.6%,5.7%,"$1,479,908,536","$92,253,404,533"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$166.04,0.3%,8.7%,11.1%,"$8,299,924,699","$86,172,667,253"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$17,819,491,494","$60,718,121,297"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2037,2.5%,11.4%,12.9%,"$2,955,233,478","$30,366,320,552"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.783,1.8%,9.4%,11.2%,"$1,669,742,360","$28,229,587,171"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2591,0.4%,3.3%,5.9%,"$1,212,187,036","$24,611,428,642"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,346.39",1.1%,21.4%,28.8%,"$135,401,536","$21,534,699,008"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$102,494",1.0%,2.9%,6.0%,"$490,108,907","$13,194,971,093"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.94,1.5%,6.3%,13.5%,"$3,590,110,326","$13,119,781,052"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$16.13,0.7%,9.3%,9.6%,"$961,853,692","$10,616,222,147"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,840.64",0.4%,22.0%,30.1%,"$82,957,281","$9,985,275,632"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$23.03,0.7%,9.6%,7.7%,"$687,333,711","$9,628,129,181"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2982,0.7%,9.2%,8.2%,"$436,018,158","$9,239,154,109"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001489,0.3%,10.9%,10.4%,"$529,519,497","$8,773,755,724"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1999,1.4%,7.3%,6.5%,"$322,929,038","$8,439,956,746"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$420.15,1.1%,1.0%,13.3%,"$383,187,688","$8,341,804,516"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$24.77,1.2%,14.0%,21.5%,"$260,605,573","$8,264,317,778"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.26,1.8%,4.4%,1.6%,"$308,173,164","$8,136,726,095"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$8.71,1.4%,0.6%,2.2%,"$8,311,417","$8,080,993,743"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$1,0.0%,0.0%,0.0%,"$27,559,638","$8,035,164,797"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$98.21,1.0%,6.4%,10.9%,"$827,855,650","$7,439,326,374"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$4.61,0.5%,8.5%,9.2%,"$378,088,748","$7,015,422,282"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$2,349.42",1.4%,21.3%,28.9%,"$131,076,389","$6,282,715,736"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$2,508.67",1.2%,21.3%,28.9%,"$57,354,442","$5,593,923,493"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$302.27,0.1%,3.7%,10.9%,"$132,973,722","$5,573,801,163"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.00001303,5.5%,42.0%,48.9%,"$3,914,156,488","$5,478,862,411"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.53,0.6%,4.9%,3.0%,"$227,932,461","$5,296,380,713"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$0.9996,0.0%,0.0%,0.1%,"$519,414,710","$5,184,804,799"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.7291,3.7%,17.0%,22.2%,"$350,060,718","$5,146,939,101"
