Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$84,420.52",0.3%,1.6%,8.9%,"$26,992,369,098","$1,674,746,978,514"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,946.22",0.6%,3.8%,5.8%,"$10,626,483,749","$233,564,564,328"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$0.9999,0.0%,0.0%,0.0%,"$22,785,322,869","$143,434,953,663"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.37,0.6%,2.9%,17.7%,"$3,036,635,141","$137,290,881,493"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$627.44,0.2%,4.6%,18.6%,"$1,731,666,564","$91,805,258,866"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$129.83,1.0%,2.1%,11.7%,"$2,936,456,053","$65,654,466,357"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9998,0.0%,0.0%,0.0%,"$6,954,215,278","$58,790,509,416"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7255,0.2%,3.4%,9.3%,"$767,890,700","$26,088,635,855"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1753,0.3%,4.0%,13.9%,"$1,038,882,351","$25,954,921,660"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2197,0.1%,2.6%,3.4%,"$771,817,062","$20,905,213,668"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,944.76",0.5%,3.6%,5.4%,"$23,500,534","$18,004,659,383"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$84,259.84",0.4%,1.7%,8.1%,"$284,117,670","$10,861,378,258"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$1.34,0.3%,3.9%,0.4%,"$307,547,191","$9,241,566,956"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.81,0.1%,2.5%,1.4%,"$4,621,083","$9,071,221,189"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$14.13,1.2%,5.0%,12.4%,"$409,770,694","$8,926,975,473"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.49,0.6%,3.3%,40.1%,"$336,346,397","$8,633,448,244"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.276,0.4%,3.3%,13.6%,"$191,634,445","$8,466,363,153"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$1.00,0.0%,0.0%,0.1%,"$13,519,447","$8,353,297,509"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,332.24",1.0%,4.2%,3.0%,"$25,840,286","$8,329,756,057"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1941,0.7%,4.9%,2.4%,"$293,471,428","$8,158,481,870"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$18.97,1.3%,3.3%,16.7%,"$262,859,150","$7,785,036,361"
