Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$94,222.04",0.1%,1.8%,0.3%,"$19,012,435,536","$1,870,007,318,135"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,797.48",0.1%,2.1%,0.7%,"$8,462,532,652","$216,878,864,654"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$20,309,324,039","$149,364,645,025"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.15,0.1%,2.4%,4.8%,"$1,530,141,152","$125,877,763,274"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$589.06,0.1%,1.8%,2.5%,"$589,284,241","$85,887,938,068"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$145.42,0.5%,0.3%,2.2%,"$2,044,213,976","$75,284,264,997"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$3,704,134,300","$61,477,756,161"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.171,0.2%,2.6%,4.6%,"$673,671,331","$25,464,972,216"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6759,0.2%,3.4%,4.6%,"$642,202,242","$24,330,074,817"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2498,0.2%,0.7%,2.1%,"$463,317,191","$23,693,797,306"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,796.09",0.1%,2.1%,0.7%,"$9,218,597","$16,479,559,438"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$94,056.63",0.0%,1.7%,0.3%,"$219,049,756","$12,108,591,742"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.28,0.3%,0.9%,7.7%,"$1,051,626,162","$10,951,606,984"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$13.91,0.1%,2.0%,6.3%,"$230,272,691","$9,133,845,925"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.08,0.0%,1.2%,0.0%,"$2,182,578","$8,382,955,016"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$19.98,0.6%,1.7%,8.2%,"$196,388,923","$8,343,587,556"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2664,0.1%,1.0%,7.4%,"$133,329,695","$8,227,925,292"
