Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$87,511.92",0.1%,0.6%,1.5%,"$24,267,735,605","$1,736,455,817,514"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,027.11",0.1%,1.8%,0.5%,"$13,360,472,971","$244,564,432,491"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$44,854,917,567","$144,187,605,483"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.37,0.5%,4.1%,5.4%,"$2,875,511,145","$137,864,468,551"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$638.00,0.3%,1.1%,2.2%,"$1,026,075,109","$93,075,651,367"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$138.02,0.7%,4.4%,2.7%,"$3,707,424,442","$70,569,759,940"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9998,0.0%,0.0%,0.0%,"$8,875,314,784","$60,135,739,239"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1963,0.5%,4.1%,11.5%,"$1,843,617,734","$29,162,898,362"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7383,0.5%,4.1%,0.4%,"$844,093,724","$26,564,096,062"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2341,0.2%,1.8%,1.6%,"$525,285,745","$22,235,381,065"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,026.28",0.0%,1.7%,0.4%,"$12,419,966","$18,948,058,972"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$87,375.85",0.1%,0.6%,1.4%,"$255,358,542","$11,264,063,036"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$15.61,0.5%,2.0%,5.6%,"$449,912,144","$9,959,065,713"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.84,0.8%,6.4%,5.4%,"$239,675,700","$9,535,966,892"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$21.92,0.8%,3.8%,13.6%,"$280,790,115","$9,091,032,228"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.76,0.1%,0.3%,0.6%,"$7,762,338","$9,014,142,013"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2906,1.3%,2.5%,1.1%,"$194,523,224","$8,945,545,055"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$2.78,0.9%,8.4%,12.0%,"$1,460,238,180","$8,799,322,328"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,422.51",0.4%,1.9%,0.5%,"$21,370,554","$8,690,705,442"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001434,1.4%,6.8%,10.7%,"$449,493,170","$8,443,939,483"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9993,0.0%,0.0%,0.1%,"$12,375,539","$8,309,162,942"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1925,0.8%,3.2%,1.5%,"$190,824,590","$8,126,306,232"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$94.18,0.5%,1.5%,1.5%,"$405,195,092","$7,127,670,290"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$4.64,0.9%,2.1%,3.1%,"$204,001,085","$7,057,751,674"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$334.98,0.7%,1.3%,3.4%,"$201,375,497","$6,649,494,491"
https://assets.coingecko.com/coins/images/12151/standard/OM_Token.png?1696511991,MANTRA OM,OM,$6.61,0.8%,2.6%,3.7%,"$72,682,265","$6,519,393,452"
