Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$103,669",0.4%,0.6%,10.1%,"$34,691,085,554","$2,059,277,790,041"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,551.03",0.2%,1.8%,44.2%,"$26,356,126,224","$307,987,429,893"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$60,773,660,342","$150,082,320,069"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.54,0.5%,1.0%,20.4%,"$7,672,381,153","$148,511,568,401"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$654.42,0.1%,1.9%,9.6%,"$1,265,925,668","$95,468,291,589"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$174.30,0.3%,1.1%,22.1%,"$5,592,898,161","$90,426,694,659"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1.00,0.0%,0.0%,0.0%,"$12,211,423,026","$60,766,795,245"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2283,0.5%,2.7%,37.1%,"$3,091,308,676","$34,052,250,888"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7999,0.1%,2.5%,23.0%,"$1,356,869,727","$28,831,485,313"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2678,0.7%,2.7%,9.8%,"$1,535,749,358","$25,416,268,306"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,553.66",0.7%,2.0%,44.8%,"$42,906,797",
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$103,669",0.7%,0.6%,10.1%,"$334,730,195","$13,351,485,438"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.98,0.4%,1.1%,22.7%,"$1,830,053,642","$13,282,165,848"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$16.74,0.1%,1.2%,25.8%,"$740,171,324","$10,996,704,342"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$3,055.91",0.2%,1.1%,43.9%,"$56,409,028",
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$24.74,0.2%,0.5%,25.9%,"$555,843,063","$10,345,960,573"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.3057,0.1%,5.4%,20.4%,"$444,039,338","$9,496,397,001"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001563,0.4%,3.5%,24.9%,"$579,908,274","$9,205,063,160"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.2092,0.2%,4.8%,21.7%,"$422,495,414","$8,836,125,854"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$25.09,0.9%,0.6%,23.4%,"$185,276,393","$8,383,068,873"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.28,0.1%,4.9%,9.4%,"$233,670,249","$8,161,348,905"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$402.71,0.3%,1.7%,13.1%,"$236,787,168","$7,999,384,233"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$8.63,0.1%,1.6%,1.1%,"$7,494,264","$7,965,324,267"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$1.12,1.0%,2.7%,93.2%,"$1,197,072,840","$7,899,710,262"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$5.02,0.2%,2.4%,29.6%,"$323,988,187","$7,641,087,638"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$100.68,0.3%,0.1%,23.1%,"$763,619,803","$7,632,890,369"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.0%,0.0%,"$10,644,081","$7,017,881,910"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$2,556.92",0.8%,2.0%,44.9%,"$60,714,521","$7,010,118,663"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$339.94,0.2%,1.1%,17.5%,"$139,278,008","$6,270,730,303"
