Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$95,463.51",0.0%,0.5%,1.5%,"$13,196,572,164","$1,896,118,733,479"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,831.19",0.2%,0.3%,1.2%,"$7,471,012,656","$221,177,442,178"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$12,505,780,207","$149,359,346,052"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.19,0.0%,0.1%,0.3%,"$1,184,913,147","$128,104,106,938"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$595.16,0.0%,0.2%,1.0%,"$421,759,116","$86,829,836,892"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$145.48,0.1%,1.2%,2.1%,"$1,816,995,734","$75,388,265,654"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$5,322,078,201",
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1745,0.2%,2.0%,3.6%,"$553,238,416","$26,012,110,266"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6897,0.5%,1.0%,1.4%,"$901,433,622","$24,855,820,433"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2478,0.0%,0.1%,0.9%,"$447,854,342","$23,521,039,376"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,830.38",0.2%,0.4%,1.3%,"$5,561,732","$16,822,501,646"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$95,354.23",0.0%,0.5%,1.2%,"$134,523,355","$12,277,903,061"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.23,0.2%,3.5%,9.8%,"$1,047,644,716","$10,797,894,083"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$14.06,0.2%,1.8%,3.4%,"$227,212,727","$9,238,495,816"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$20.12,0.1%,2.8%,9.7%,"$167,982,876","$8,402,553,132"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.05,0.1%,1.8%,0.5%,"$1,896,846","$8,357,708,829"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2693,0.2%,0.3%,5.5%,"$119,103,123","$8,344,951,652"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.0%,0.0%,"$5,844,582","$7,925,758,825"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.11,0.2%,1.1%,4.8%,"$85,545,398","$7,753,738,719"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001297,0.1%,1.4%,5.4%,"$110,480,091","$7,645,375,054"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,199.85",0.3%,0.4%,1.2%,"$16,523,056","$7,624,162,773"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1789,0.2%,1.6%,5.5%,"$111,110,727","$7,562,036,702"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$358.21,0.1%,2.3%,1.9%,"$148,409,647","$7,116,352,628"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$20.83,0.9%,2.9%,18.5%,"$94,124,474","$6,957,029,575"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$85.90,0.0%,0.6%,0.3%,"$212,474,901","$6,512,654,858"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$3.97,0.1%,2.9%,3.8%,"$118,488,836","$6,043,395,316"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$1,832.01",0.3%,0.4%,1.1%,"$35,343,256",
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$1.00,0.0%,0.1%,0.1%,"$86,692,952","$5,185,390,755"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.33,0.0%,0.8%,0.6%,"$68,962,864","$5,067,903,077"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$265.82,2.0%,2.7%,16.6%,"$95,777,684","$4,913,405,472"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$1.00,0.0%,0.0%,0.1%,"$40,446,002","$4,686,781,263"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.5897,0.3%,1.1%,7.6%,"$81,632,934","$4,154,056,764"
https://assets.coingecko.com/coins/images/27045/standard/wbt_token.png?1696526096,WhiteBIT Coin WBT,WBT,$28.58,0.2%,0.9%,2.6%,"$9,157,546","$4,123,643,464"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$1,952.67",0.2%,0.4%,1.2%,"$5,076,178",
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$95,348.98",0.1%,0.7%,1.3%,"$129,793,737","$4,069,946,118"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.058216,0.4%,1.7%,8.9%,"$411,299,701","$3,455,183,167"
https://assets.coingecko.com/coins/images/9956/standard/Badge_Dai.png?1696509996,Dai DAI,DAI,$0.9998,0.0%,0.0%,0.0%,"$60,164,241","$3,270,811,368"
https://assets.coingecko.com/coins/images/26455/standard/aptos_round.png?1696525528,Aptos APT,APT,$5.17,0.4%,1.1%,6.4%,"$90,653,581","$3,209,435,679"
https://assets.coingecko.com/coins/images/52721/standard/sUSDS_Coin.png?1734086971,sUSDS SUSDS,SUSDS,$1.05,0.0%,0.0%,0.1%,"$4,309,902",
https://assets.coingecko.com/coins/images/4463/standard/WeChat_Image_20220118095654.png?1696505053,OKB OKB,OKB,$51.26,0.1%,0.0%,2.8%,"$3,102,125","$3,074,821,478"
https://assets.coingecko.com/coins/images/12504/standard/uniswap-logo.png?1720676669,Uniswap UNI,UNI,$5.08,0.3%,0.9%,11.3%,"$119,607,474","$3,050,253,760"
https://assets.coingecko.com/coins/images/28452/standard/ARUsPeNQ_400x400.jpeg?1696527447,Bittensor TAO,TAO,$348.38,0.1%,3.8%,0.1%,"$72,513,446","$3,031,545,480"
https://assets.coingecko.com/coins/images/10365/standard/near.jpg?1696510367,NEAR Protocol NEAR,NEAR,$2.39,0.1%,2.4%,6.4%,"$111,988,283","$2,896,125,677"
