Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$93,450.69",0.3%,0.8%,10.2%,"$31,798,335,078","$1,855,787,360,569"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,766.41",1.0%,0.1%,11.5%,"$13,141,392,626","$213,167,902,895"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$54,715,463,979","$146,053,065,805"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.19,0.4%,0.1%,6.5%,"$4,152,042,083","$127,749,727,757"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$602.81,0.4%,0.4%,2.1%,"$775,272,627","$87,930,746,269"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$152.11,0.6%,2.6%,13.0%,"$4,505,261,265","$78,732,530,642"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$7,619,330,591","$62,085,843,964"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1811,0.9%,4.6%,16.9%,"$1,538,056,778","$26,974,990,462"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7121,0.6%,4.2%,16.2%,"$1,047,099,802","$25,658,690,885"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2439,0.2%,0.2%,1.1%,"$637,931,678","$23,162,132,637"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,764.24",1.1%,0.2%,11.6%,"$18,546,735","$16,319,727,889"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$93,382.60",0.4%,0.9%,10.0%,"$212,002,084","$12,029,449,960"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.37,1.5%,12.9%,58.8%,"$3,209,206,873","$10,960,784,660"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$15.00,1.1%,3.2%,19.6%,"$475,675,407","$9,856,872,949"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$22.11,1.0%,0.8%,16.1%,"$335,477,799","$9,201,213,968"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.276,0.2%,5.4%,14.3%,"$258,648,287","$8,517,938,005"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.22,0.2%,0.6%,0.0%,"$3,773,786","$8,516,456,796"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.000014,1.7%,6.0%,18.9%,"$214,551,267","$8,251,694,927"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.20,0.7%,2.6%,8.1%,"$152,093,827","$8,041,177,768"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1868,0.9%,5.4%,14.1%,"$272,951,014","$7,890,485,232"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,111.15",0.7%,0.2%,11.3%,"$19,210,788","$7,486,951,118"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$1.00,0.0%,0.0%,0.0%,"$14,315,893","$7,427,276,860"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$354.94,0.8%,2.3%,7.8%,"$266,823,753","$7,050,542,181"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$4.27,0.4%,6.9%,16.7%,"$236,722,180","$6,499,874,837"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$83.81,0.6%,2.0%,11.4%,"$328,246,348","$6,352,965,349"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$18.75,1.1%,3.9%,9.8%,"$106,788,955","$6,265,060,082"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.43,0.5%,1.1%,1.7%,"$66,375,207","$5,186,845,187"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$1.00,0.0%,0.1%,0.1%,"$194,962,054","$5,183,911,956"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$1,759.38",0.8%,0.4%,11.2%,"$203,662,913","$4,942,360,631"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$0.9997,0.0%,0.0%,0.1%,"$58,997,342","$4,753,236,540"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.6544,0.2%,0.5%,6.9%,"$86,135,881","$4,550,493,269"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$229.33,0.6%,1.2%,6.1%,"$62,639,645","$4,230,383,119"
https://assets.coingecko.com/coins/images/27045/standard/wbt_token.png?1696526096,WhiteBIT Coin WBT,WBT,$28.85,0.1%,1.1%,3.6%,"$15,565,331","$4,157,589,527"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$1,875.63",0.8%,0.3%,11.3%,"$5,970,505","$3,893,503,507"
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$93,442.97",0.4%,0.6%,10.1%,"$249,163,573","$3,778,456,295"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.058722,0.9%,2.5%,23.7%,"$747,097,004","$3,672,560,529"
https://assets.coingecko.com/coins/images/12504/standard/uniswap-logo.png?1720676669,Uniswap UNI,UNI,$5.78,0.8%,1.4%,12.0%,"$195,320,638","$3,473,722,153"
https://assets.coingecko.com/coins/images/26455/standard/aptos_round.png?1696525528,Aptos APT,APT,$5.47,1.9%,3.2%,19.7%,"$182,627,410","$3,390,640,681"
https://assets.coingecko.com/coins/images/9956/standard/Badge_Dai.png?1696509996,Dai DAI,DAI,$1.00,0.0%,0.0%,0.0%,"$87,225,936","$3,269,533,228"
