Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$76,762.89",0.3%,2.6%,9.7%,"$48,535,438,793","$1,522,523,567,035"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,471.06",0.7%,6.3%,22.9%,"$21,669,864,542","$177,431,337,559"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$0.999,0.0%,0.0%,0.1%,"$68,210,208,120","$144,051,233,924"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$1.82,0.2%,6.0%,14.8%,"$5,587,677,470","$106,016,137,261"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$552.90,0.1%,1.0%,9.0%,"$919,467,965","$80,627,647,973"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$15,700,973,779","$60,167,498,018"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$104.85,0.3%,2.3%,17.3%,"$6,160,803,674","$54,031,398,010"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2313,0.2%,1.3%,2.3%,"$799,851,719","$21,963,824,924"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1436,0.2%,4.0%,16.6%,"$1,991,938,893","$21,321,771,570"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.5611,0.7%,4.7%,17.3%,"$1,218,955,935","$20,187,949,848"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,464.79",0.3%,6.6%,23.1%,"$89,020,542","$13,711,761,951"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$76,685.35",0.3%,2.6%,9.5%,"$308,503,218","$9,885,607,078"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.01,0.3%,1.0%,3.7%,"$3,931,765","$8,324,414,926"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9998,0.0%,0.0%,0.1%,"$14,112,108","$7,787,053,837"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.01,1.1%,2.9%,25.3%,"$166,823,304","$7,440,257,308"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$10.92,0.2%,5.4%,23.0%,"$494,757,326","$6,960,902,284"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.223,0.5%,5.2%,18.4%,"$222,720,377","$6,859,807,148"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$16.16,0.2%,4.4%,16.8%,"$373,512,732","$6,708,756,928"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$1.98,0.2%,4.2%,18.3%,"$615,033,690","$6,434,792,481"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1492,0.3%,1.4%,12.4%,"$475,258,523","$6,290,558,231"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$1,760.84",0.3%,6.1%,23.1%,"$51,149,436",
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001059,0.8%,7.2%,16.5%,"$234,995,516","$6,232,375,349"
https://assets.coingecko.com/coins/images/12151/standard/OM_Token.png?1696511991,MANTRA OM,OM,$6.19,0.4%,1.5%,1.5%,"$94,784,409","$5,970,071,108"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$270.58,0.1%,3.3%,12.8%,"$150,038,217","$5,369,905,946"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$69.15,0.5%,3.3%,18.4%,"$445,848,666","$5,232,260,515"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$3.41,0.5%,5.5%,17.8%,"$190,617,645","$5,189,379,157"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$0.9987,0.5%,0.1%,0.1%,"$224,376,810","$5,184,753,339"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$0.999,0.0%,0.1%,0.1%,"$102,297,632",
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.04,0.5%,0.7%,12.4%,"$271,409,627","$4,838,345,617"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$1,469.47",0.3%,6.5%,23.0%,"$217,601,666","$4,032,126,563"
https://assets.coingecko.com/coins/images/27045/standard/wbt_token.png?1696526096,WhiteBIT Coin WBT,WBT,$27.62,0.1%,1.4%,1.6%,"$38,845,613","$3,980,193,429"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.566,0.6%,3.6%,20.8%,"$184,252,323","$3,870,957,388"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$11.28,2.4%,3.5%,14.9%,"$170,554,487","$3,765,977,816"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$199.33,0.8%,1.4%,7.9%,"$67,274,333","$3,673,167,264"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$1,565.14",0.5%,6.3%,22.8%,"$9,888,918","$3,307,878,370"
https://assets.coingecko.com/coins/images/9956/standard/Badge_Dai.png?1696509996,Dai DAI,DAI,$0.9997,0.0%,0.0%,0.0%,"$167,043,111","$3,158,018,190"
https://assets.coingecko.com/coins/images/4463/standard/WeChat_Image_20220118095654.png?1696505053,OKB OKB,OKB,$51.00,2.0%,0.3%,5.3%,"$21,785,638","$3,058,058,961"
https://assets.coingecko.com/coins/images/52721/standard/sUSDS_Coin.png?1734086971,sUSDS SUSDS,SUSDS,$1.05,0.0%,0.1%,0.1%,"$5,119,770","$3,036,174,879"
https://assets.coingecko.com/coins/images/12504/standard/uniswap-logo.png?1720676669,Uniswap UNI,UNI,$4.82,1.7%,6.3%,22.9%,"$151,295,781","$2,885,431,646"
https://assets.coingecko.com/coins/images/26455/standard/aptos_round.png?1696525528,Aptos APT,APT,$4.36,0.5%,2.8%,18.8%,"$184,395,222","$2,633,560,289"
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$76,815.97",0.4%,2.6%,9.5%,"$348,652,645","$2,555,672,582"
https://assets.coingecko.com/coins/images/8183/standard/200X200.png?1735246724,Gate GT,GT,$20.75,0.2%,1.0%,8.9%,"$16,689,607","$2,550,959,765"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.056015,0.4%,8.6%,21.3%,"$725,706,441","$2,526,954,574"
https://assets.coingecko.com/coins/images/4984/standard/TKX_-_Logo_-_RGB-15.png?1696505519,Tokenize Xchange TKX,TKX,$28.85,0.1%,3.7%,15.6%,"$17,641,263","$2,307,951,494"
https://assets.coingecko.com/coins/images/10365/standard/near.jpg?1696510367,NEAR Protocol NEAR,NEAR,$1.90,0.2%,10.8%,28.8%,"$285,408,597","$2,278,073,842"
https://assets.coingecko.com/coins/images/26580/standard/ONDO.png?1696525656,Ondo ONDO,ONDO,$0.7208,0.4%,5.9%,12.9%,"$167,851,594","$2,271,299,993"
https://assets.coingecko.com/coins/images/30980/standard/Mantle-Logo-mark.png?1739213200,Mantle MNT,MNT,$0.6678,0.1%,3.6%,15.7%,"$279,524,955","$2,246,158,413"
https://assets.coingecko.com/coins/images/7310/standard/cro_token_logo.png?1696507599,Cronos CRO,CRO,$0.08107,0.3%,3.9%,21.8%,"$36,828,945","$2,224,698,884"
https://assets.coingecko.com/coins/images/14495/standard/Internet_Computer_logo.png?1696514180,Internet Computer ICP,ICP,$4.52,0.3%,2.8%,16.8%,"$89,381,031","$2,179,651,380"
https://assets.coingecko.com/coins/images/33669/standard/sUSDe-Symbol-Color.png?1716307680,Ethena Staked USDe SUSDE,SUSDE,$1.16,0.0%,0.0%,0.2%,"$19,674,019","$2,172,704,862"
https://assets.coingecko.com/coins/images/453/standard/ethereum-classic-logo.png?1696501717,Ethereum Classic ETC,ETC,$14.08,0.1%,4.4%,16.9%,"$83,703,627","$2,130,850,477"
https://assets.coingecko.com/coins/images/36291/standard/blackrock.png?1711013223,BlackRock USD Institutional Digital Liquidity Fund BUIDL,BUIDL,$1.00,0.0%,0.0%,0.0%,"$2,004,957,757",
https://assets.coingecko.com/coins/images/31079/standard/FDUSD_icon_black.png?1731097953,First Digital USD FDUSD,FDUSD,$0.9966,0.1%,0.2%,0.2%,"$1,936,356,641",
https://assets.coingecko.com/coins/images/12645/standard/aave-token-round.png?1720472354,Aave AAVE,AAVE,$126.32,0.6%,5.3%,24.4%,"$375,230,147","$1,901,639,571"
https://assets.coingecko.com/coins/images/1481/standard/cosmos_hub.png?1696502525,Cosmos Hub ATOM,ATOM,$4.20,0.5%,4.8%,4.6%,"$134,559,943","$1,862,037,352"
https://assets.coingecko.com/coins/images/28478/standard/lightenicon_200x200.png?1696527472,Fasttoken FTN,FTN,$4.02,0.1%,0.3%,0.4%,"$48,490,847","$1,731,978,360"
https://assets.coingecko.com/coins/images/1167/standard/VET.png?1742383283,VeChain VET,VET,$0.0197,0.2%,3.5%,15.8%,"$56,472,814","$1,692,748,420"
https://assets.coingecko.com/coins/images/28452/standard/ARUsPeNQ_400x400.jpeg?1696527447,Bittensor TAO,TAO,$196.31,0.8%,2.0%,14.1%,"$132,586,803","$1,676,482,487"
https://assets.coingecko.com/coins/images/39969/standard/LBTC_Logo.png?1724959872,Lombard Staked BTC LBTC,LBTC,"$76,605.85",0.3%,2.5%,9.8%,"$25,209,609","$1,631,045,460"
https://assets.coingecko.com/coins/images/25751/standard/kaspa-icon-exchanges.png?1696524837,Kaspa KAS,KAS,$0.06043,0.2%,2.0%,10.7%,"$78,236,655","$1,563,009,479"
https://assets.coingecko.com/coins/images/36530/standard/ethena.png?1711701436,Ethena ENA,ENA,$0.2782,0.1%,5.0%,24.7%,"$131,026,103","$1,543,119,305"
https://assets.coingecko.com/coins/images/53746/standard/trump.png?1737171561,Official Trump TRUMP,TRUMP,$7.51,0.4%,5.1%,27.1%,"$454,329,923","$1,498,158,584"
https://assets.coingecko.com/coins/images/11636/standard/rndr.png?1696511529,Render RENDER,RENDER,$2.86,0.3%,3.4%,23.9%,"$252,326,759","$1,474,352,838"
https://assets.coingecko.com/coins/images/12817/standard/filecoin.png?1696512609,Filecoin FIL,FIL,$2.27,0.8%,5.2%,20.2%,"$142,236,556","$1,466,875,152"
https://assets.coingecko.com/coins/images/32440/standard/polygon.png?1698233684,POL (ex-MATIC) POL,POL,$0.1682,0.0%,3.9%,16.0%,"$67,952,985","$1,453,962,208"
https://assets.coingecko.com/coins/images/31967/standard/tia.jpg?1696530772,Celestia TIA,TIA,$2.36,0.0%,5.4%,24.8%,"$79,450,858","$1,394,451,421"
https://assets.coingecko.com/coins/images/4380/standard/download.png?1696504978,Algorand ALGO,ALGO,$0.1544,2.4%,8.4%,18.2%,"$89,897,559","$1,320,623,978"
https://assets.coingecko.com/coins/images/38108/standard/200x200_Sonic_Logo.png?1734679256,Sonic (prev. FTM) S,S,$0.4054,0.5%,6.0%,19.7%,"$155,291,387","$1,286,540,518"
https://assets.coingecko.com/coins/images/36800/standard/solvBTC.png?1719810684,Solv Protocol SolvBTC SOLVBTC,SOLVBTC,"$76,609.53",0.0%,2.5%,9.6%,"$3,330,624","$1,257,991,657"
https://assets.coingecko.com/coins/images/16547/standard/arb.jpg?1721358242,Arbitrum ARB,ARB,$0.2653,0.2%,4.1%,20.5%,"$159,994,700","$1,222,919,292"
https://assets.coingecko.com/coins/images/33094/standard/jlp.png?1700631386,Jupiter Perpetuals Liquidity Provider Token JLP,JLP,$3.40,0.5%,1.7%,9.3%,"$43,795,732","$1,214,354,195"
https://assets.coingecko.com/coins/images/1047/standard/sa9z79.png?1696502152,KuCoin KCS,KCS,$9.12,0.7%,3.1%,16.3%,"$180,639","$1,139,318,710"
https://assets.coingecko.com/coins/images/54035/standard/Transparent_bg.png?1738075331,Story IP,IP,$4.14,0.7%,0.2%,11.2%,"$97,353,043","$1,075,038,366"
https://assets.coingecko.com/coins/images/1364/standard/Mark_Maker.png?1696502423,Maker MKR,MKR,"$1,233.20",0.1%,1.5%,10.5%,"$103,192,059","$1,042,058,572"
https://assets.coingecko.com/coins/images/738/standard/CG_EOS_Icon.png?1731705232,EOS EOS,EOS,$0.6791,1.1%,12.4%,0.6%,"$283,419,934","$1,029,021,436"
https://assets.coingecko.com/coins/images/53705/standard/usdt0.jpg?1737086183,USDT0 USDT0,USDT0,$0.9994,0.1%,0.1%,0.2%,"$103,426,878","$1,005,819,932"
https://assets.coingecko.com/coins/images/2912/standard/xdc-icon.png?1696503661,XDC Network XDC,XDC,$0.06336,1.0%,3.1%,8.1%,"$49,981,836","$994,600,898"
https://assets.coingecko.com/coins/images/5681/standard/ASI.png?1719827289,Artificial Superintelligence Alliance FET,FET,$0.3804,0.3%,3.8%,20.2%,"$95,269,167","$990,707,936"
https://assets.coingecko.com/coins/images/25244/standard/Optimism.png?1696524385,Optimism OP,OP,$0.5921,0.2%,5.4%,21.6%,"$140,829,647","$980,937,623"
https://assets.coingecko.com/coins/images/3695/standard/CG-nexo-token-200x200_2x.png?1730414360,NEXO NEXO,NEXO,$0.9642,0.4%,1.2%,11.1%,"$16,504,696","$963,875,817"
https://assets.coingecko.com/coins/images/34188/standard/jup.png?1704266489,Jupiter JUP,JUP,$0.3365,0.5%,1.5%,19.7%,"$53,524,101","$957,208,275"
https://assets.coingecko.com/coins/images/39580/standard/weth.png?1723006716,Binance-Peg WETH WETH,WETH,"$1,474.02",0.6%,6.1%,22.7%,"$31,854,535","$891,747,704"
https://assets.coingecko.com/coins/images/12713/standard/DEXE_token_logo.png?1696512514,DeXe DEXE,DEXE,$15.59,0.1%,0.0%,15.7%,"$12,721,880","$889,714,404"
https://assets.coingecko.com/coins/images/40132/standard/bnsol.png?1725968367,Binance Staked SOL BNSOL,BNSOL,$109.15,0.2%,2.7%,17.4%,"$2,884,680",
https://assets.coingecko.com/coins/images/3370/standard/5ZOu7brX_400x400.jpg?1696504070,Quant QNT,QNT,$59.81,0.0%,7.3%,14.7%,"$34,808,094","$869,449,182"
https://assets.coingecko.com/coins/images/33800/standard/Icon___Dark.png?1702991855,Kelp DAO Restaked ETH RSETH,RSETH,"$1,528.70",0.6%,6.3%,22.9%,"$2,866,761","$858,394,803"
https://assets.coingecko.com/coins/images/35220/standard/USDC.jpg?1707919050,Binance Bridged USDC (BNB Smart Chain) USDC,USDC,$1.00,0.2%,0.1%,0.0%,"$23,777,161","$848,521,135"
https://assets.coingecko.com/coins/images/2069/standard/Stacks_Logo_png.png?1709979332,Stacks STX,STX,$0.536,0.1%,2.7%,12.9%,"$39,003,927","$814,312,915"
https://assets.coingecko.com/coins/images/35023/standard/USDT.png?1707233644,Polygon Bridged USDT (Polygon) USDT,USDT,$0.999,0.0%,0.0%,0.1%,"$25,390,110","$804,097,137"
https://assets.coingecko.com/coins/images/31212/standard/PYUSD_Logo_%282%29.png?1696530039,PayPal USD PYUSD,PYUSD,$0.9996,0.1%,0.0%,0.0%,"$97,255,955","$786,884,592"
https://assets.coingecko.com/coins/images/38272/standard/USD0LOGO.png?1716962811,Usual USD USD0,USD0,$0.9979,0.0%,0.1%,0.0%,"$8,781,154","$776,362,567"
https://assets.coingecko.com/coins/images/31069/standard/worldcoin.jpeg?1696529903,Worldcoin WLD,WLD,$0.6205,0.5%,6.2%,23.8%,"$116,024,326","$768,858,806"
https://assets.coingecko.com/coins/images/39345/standard/movement-testnet-token.png?1721878759,Movement MOVE,MOVE,$0.3118,0.8%,4.2%,23.2%,"$52,501,659","$762,968,910"
https://assets.coingecko.com/coins/images/28600/standard/bonk.jpg?1696527587,Bonk BONK,BONK,$0.059674,0.4%,5.5%,17.5%,"$85,131,870","$746,788,097"
https://assets.coingecko.com/coins/images/10481/standard/Tether_Gold.png?1696510471,Tether Gold XAUT,XAUT,"$2,990.45",0.0%,0.3%,4.5%,"$35,520,855","$737,222,625"
