Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$85,800.10",0.6%,3.2%,1.6%,"$26,626,562,549","$1,702,742,941,083"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,874.20",0.1%,0.6%,8.2%,"$14,801,680,023","$226,150,277,313"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$0.9999,0.0%,0.0%,0.0%,"$44,734,287,815","$144,024,482,448"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.12,0.3%,0.2%,12.6%,"$3,088,563,703","$123,540,995,015"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$604.86,0.4%,1.8%,3.4%,"$1,537,083,538","$88,276,491,081"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$127.01,0.6%,0.8%,10.9%,"$3,173,485,259","$65,101,740,575"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$10,085,214,100","$60,121,586,722"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1721,0.5%,1.4%,13.5%,"$1,138,559,958","$25,580,493,220"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6849,0.3%,1.5%,9.0%,"$617,889,925","$24,633,068,441"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2376,0.1%,1.0%,3.8%,"$629,247,435","$22,590,144,385"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,870.41",0.0%,0.5%,8.0%,"$24,289,932","$17,538,888,777"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$85,679.51",0.8%,3.0%,1.6%,"$186,266,607","$11,042,870,975"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$4.06,0.4%,0.0%,13.9%,"$233,215,743","$9,985,049,198"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.40,0.0%,0.9%,3.8%,"$4,239,647","$8,686,451,326"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$13.62,0.8%,1.7%,13.0%,"$513,291,387","$8,693,564,652"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2693,0.2%,0.5%,7.4%,"$171,781,688","$8,284,730,451"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,243.72",0.7%,0.8%,7.7%,"$22,349,559","$8,087,489,083"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.0%,0.1%,"$13,038,172","$8,008,852,438"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$2.46,0.3%,2.5%,5.8%,"$1,072,324,030","$7,995,959,125"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$19.23,0.4%,0.1%,14.0%,"$308,789,493","$7,985,260,860"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001248,0.5%,2.0%,16.7%,"$228,701,324","$7,352,517,954"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1681,1.3%,0.7%,14.6%,"$193,067,714","$7,091,193,993"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$83.39,0.7%,1.0%,11.7%,"$387,311,502","$6,316,528,462"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$4.13,0.9%,1.2%,12.1%,"$165,647,755","$6,277,193,943"
https://assets.coingecko.com/coins/images/12151/standard/OM_Token.png?1696511991,MANTRA OM,OM,$6.32,0.4%,1.1%,2.9%,"$65,627,340","$6,102,127,987"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$306.45,0.5%,0.8%,8.2%,"$160,451,912","$6,085,554,762"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.59,0.4%,0.6%,10.1%,"$103,247,259","$5,515,219,633"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$1,873.48",0.4%,0.5%,8.2%,"$565,846,232","$5,352,810,586"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$0.9998,0.0%,0.0%,0.0%,"$102,992,541","$5,261,087,039"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$0.9994,0.0%,0.0%,0.1%,"$232,478,294","$5,196,097,118"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.6874,2.4%,2.1%,13.1%,"$184,957,086","$4,657,258,621"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$13.54,0.5%,2.3%,8.5%,"$76,842,270","$4,521,285,620"
