Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$102,738",0.0%,1.8%,8.8%,"$39,991,563,359","$2,040,950,554,768"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,457.97",0.3%,4.5%,36.1%,"$27,548,510,216","$296,754,185,376"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1,0.0%,0.0%,0.0%,"$88,581,984,575","$150,051,798,551"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.50,0.1%,3.2%,19.2%,"$8,851,102,251","$146,504,340,505"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$649.01,0.1%,3.0%,8.4%,"$1,881,537,371","$94,679,414,202"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$172.45,0.5%,2.2%,18.7%,"$6,648,452,022","$89,575,774,554"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$8,425,551,362","$60,862,174,873"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2237,0.3%,9.4%,32.1%,"$3,910,259,536","$33,384,847,419"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7902,0.3%,5.0%,19.4%,"$1,740,844,560","$28,489,540,349"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2633,0.4%,1.5%,7.1%,"$2,232,742,799","$24,982,240,431"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,455.97",0.2%,4.6%,36.2%,"$38,924,652","$22,434,804,663"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$102,818",0.0%,1.6%,9.1%,"$310,829,721","$13,240,015,731"
