Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$104,038",0.2%,0.5%,10.6%,"$32,693,050,721","$2,066,783,330,672"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,549.56",0.0%,1.3%,41.5%,"$25,492,559,662","$307,746,494,138"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$48,215,166,495","$149,980,939,680"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.56,3.9%,7.8%,19.5%,"$5,989,080,294","$149,197,889,033"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$689.58,0.6%,4.9%,16.1%,"$1,504,299,274","$100,600,968,175"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$175.37,0.0%,0.8%,21.7%,"$5,522,601,320","$90,944,503,772"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$11,826,125,297",
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2431,0.9%,3.9%,42.2%,"$4,313,514,406","$36,245,316,890"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.8427,1.4%,5.4%,26.8%,"$1,335,683,575","$30,375,547,122"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2727,0.3%,4.1%,9.5%,"$1,421,837,894",
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,549.40",0.3%,1.4%,41.6%,"$38,987,757","$23,288,269,225"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$4.08,1.4%,2.5%,18.8%,"$2,289,362,392","$13,611,359,968"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$103,864",0.3%,0.8%,10.5%,"$293,285,705","$13,383,465,190"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$17.39,0.4%,4.5%,26.8%,"$765,877,053","$11,387,244,179"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$3,058.40",0.4%,0.9%,41.2%,"$31,510,223","$10,560,330,279"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$25.22,0.3%,1.9%,29.3%,"$637,048,199","$10,537,081,659"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.3266,2.4%,6.4%,24.5%,"$374,918,076","$10,108,912,780"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001679,0.9%,4.4%,32.6%,"$733,708,751","$9,872,853,300"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.2172,1.5%,4.3%,25.1%,"$336,140,372","$9,106,937,584"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$1.26,17.4%,11.2%,112.8%,"$1,787,651,278","$9,095,859,647"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.51,0.7%,2.4%,17.6%,"$238,904,276","$8,710,610,140"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$24.78,0.7%,0.2%,23.8%,"$183,718,797","$8,272,924,841"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$415.08,0.2%,0.8%,17.6%,"$252,338,261","$8,247,108,145"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$5.27,0.3%,3.7%,34.6%,"$317,290,896","$8,002,590,571"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$8.49,0.0%,1.9%,1.3%,"$9,641,490","$7,842,065,960"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$102.64,0.4%,1.4%,16.4%,"$629,256,567","$7,785,206,451"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.0%,0.0%,"$7,802,966",
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$2,551.42",0.1%,1.4%,41.3%,"$119,924,638","$7,036,924,123"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$342.57,0.3%,3.9%,24.3%,"$126,813,476","$6,326,137,440"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.00001443,1.2%,8.5%,79.6%,"$3,282,957,224","$6,068,518,446"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$2,717.17",0.2%,1.0%,41.1%,"$10,127,368",
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.90,0.7%,0.2%,14.0%,"$210,862,830","$5,737,824,937"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$0.9966,0.3%,0.5%,0.3%,"$893,765,485","$5,167,373,794"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$1.00,0.0%,0.0%,0.0%,"$133,188,972","$4,672,363,561"
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$104,028",0.2%,0.7%,10.5%,"$405,862,305","$4,655,566,215"
