Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$94,179.37",0.0%,0.0%,11.3%,"$14,795,206,147","$1,870,294,677,152"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,808.69",0.1%,0.5%,13.8%,"$9,970,812,086","$218,318,988,422"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$26,981,936,107","$147,162,029,590"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.18,0.1%,1.0%,5.7%,"$2,097,140,830","$127,443,586,483"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$600.47,0.0%,0.2%,1.1%,"$449,606,083","$87,600,622,863"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$148.45,0.1%,0.7%,6.6%,"$2,403,800,176","$76,812,070,947"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$3,737,512,649","$62,207,294,701"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1823,0.8%,0.1%,16.7%,"$1,204,610,761","$27,159,804,045"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.6993,0.3%,2.6%,12.3%,"$525,750,322","$25,187,477,595"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2496,0.3%,1.1%,3.1%,"$903,789,221","$23,701,294,870"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,807.47",0.0%,0.6%,13.7%,"$18,729,081","$16,702,530,586"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$94,066.47",0.0%,0.1%,11.1%,"$137,735,564","$12,118,991,565"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.61,0.7%,3.5%,70.1%,"$1,498,267,427","$11,732,197,964"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$14.57,0.4%,2.4%,11.4%,"$314,317,515","$9,570,997,275"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$22.39,0.1%,0.8%,14.0%,"$291,696,822","$9,317,271,376"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.286,0.0%,1.8%,17.2%,"$164,998,962","$8,823,097,770"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.01,0.1%,0.4%,3.4%,"$3,206,662","$8,319,993,285"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.28,0.3%,1.8%,10.4%,"$159,334,700","$8,242,439,429"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001381,0.6%,4.2%,12.4%,"$183,600,215","$8,137,003,790"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.1897,0.2%,1.6%,15.8%,"$127,349,908","$8,006,477,369"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$2,170.42",0.0%,0.4%,13.4%,"$20,630,286","$7,685,096,257"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9999,0.0%,0.1%,0.0%,"$4,568,260","$7,576,806,074"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$352.21,0.3%,3.0%,5.2%,"$173,289,150","$6,995,558,118"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$86.28,0.4%,0.0%,13.0%,"$246,673,199","$6,537,988,215"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$4.14,0.2%,2.9%,7.2%,"$120,958,118","$6,303,219,677"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$17.53,0.3%,2.7%,1.9%,"$67,510,532","$5,854,695,379"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$1.00,0.0%,0.0%,0.3%,"$129,743,162","$5,184,225,852"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.40,0.0%,0.8%,2.1%,"$56,164,033","$5,143,555,988"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$1,808.24",0.1%,0.3%,13.2%,"$198,109,333","$5,054,260,466"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$0.9992,0.0%,0.0%,0.0%,"$49,112,729","$4,759,088,082"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$0.6398,0.2%,1.1%,1.6%,"$64,124,813","$4,452,458,337"
https://assets.coingecko.com/coins/images/27045/standard/wbt_token.png?1696526096,WhiteBIT Coin WBT,WBT,$29.37,0.1%,0.4%,5.2%,"$9,315,644","$4,239,843,340"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$228.50,0.4%,0.3%,6.5%,"$48,511,800","$4,214,792,691"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$1,927.09",0.1%,0.5%,13.4%,"$6,634,667","$4,029,630,688"
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$94,115.15",0.0%,0.1%,11.3%,"$151,465,666","$3,825,119,748"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.059033,0.4%,3.3%,22.1%,"$516,734,831","$3,797,342,627"
