Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$93,945.93",0.1%,0.5%,10.7%,"$29,151,865,775","$1,865,030,391,186"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,773.58",0.3%,1.1%,12.3%,"$14,044,406,755","$214,122,609,235"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$29,979,426,444","$146,071,554,813"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.20,0.0%,0.5%,7.5%,"$4,144,734,587","$128,649,701,708"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$601.93,0.1%,0.3%,2.2%,"$773,024,434","$87,814,629,606"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$152.54,0.1%,1.3%,13.7%,"$4,491,443,287","$78,878,541,562"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$0.9999,0.0%,0.0%,0.0%,"$8,376,911,564","$62,233,392,199"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1827,0.2%,3.3%,18.4%,"$1,575,531,516","$27,231,051,443"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7191,0.2%,3.4%,17.2%,"$1,042,392,730","$25,922,558,089"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2443,0.4%,0.7%,1.2%,"$667,515,456","$23,206,178,280"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,771.24",0.4%,1.1%,12.2%,"$19,136,079","$16,390,353,713"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$93,746.34",0.1%,0.3%,10.7%,"$213,350,016","$12,075,950,442"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.35,0.5%,14.1%,58.8%,"$3,260,505,158","$10,885,994,549"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$15.08,0.2%,0.6%,21.3%,"$484,525,219","$9,912,876,112"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$22.34,0.0%,0.3%,17.9%,"$332,415,881","$9,297,051,537"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.2793,0.3%,4.8%,17.0%,"$255,536,431","$8,627,334,384"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$9.16,0.8%,0.4%,0.9%,"$3,543,032","$8,454,424,557"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.0000139,0.9%,2.9%,18.8%,"$199,659,799","$8,191,050,517"
