Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$103,231",0.0%,0.3%,7.1%,"$19,460,780,063","$2,050,598,470,412"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,506.57",0.7%,7.5%,36.3%,"$26,875,180,128","$302,401,544,313"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$35,992,878,548","$149,886,158,534"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.42,0.6%,3.1%,10.6%,"$3,936,642,618","$141,992,738,395"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$653.83,0.0%,2.3%,9.1%,"$1,683,930,380","$95,367,253,879"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$173.01,0.4%,0.6%,17.3%,"$4,123,479,089","$89,786,658,215"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$10,696,631,424","$60,827,707,708"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2373,1.2%,15.8%,34.1%,"$3,110,290,377","$35,356,529,739"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.8189,1.0%,5.2%,15.6%,"$1,332,920,461","$29,489,842,429"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.261,0.1%,0.0%,6.3%,"$1,020,084,240","$24,774,457,857"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,504.21",0.7%,7.5%,36.3%,"$49,159,790","$22,887,715,390"
