Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$95,340.86",0.2%,1.5%,4.2%,"$24,051,729,085","$1,892,755,623,309"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$1,825.10",0.2%,3.1%,7.2%,"$14,810,078,308","$220,353,909,236"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$39,279,267,933","$148,019,297,682"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.30,0.3%,1.1%,6.4%,"$2,549,976,067","$134,422,029,991"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$603.51,0.3%,0.3%,0.8%,"$729,516,359","$88,008,469,359"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$149.15,0.2%,1.6%,2.9%,"$3,010,179,254","$77,186,466,602"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$9,516,192,309",
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.1791,0.0%,1.8%,4.0%,"$960,204,423","$26,669,834,366"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.7113,0.0%,1.8%,8.0%,"$753,118,150","$25,623,563,056"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.2458,0.0%,0.5%,0.4%,"$501,410,228",
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$1,824.37",0.3%,3.1%,7.3%,"$18,428,755","$16,847,753,806"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$95,221.72",0.1%,1.4%,4.3%,"$192,111,036","$12,266,776,538"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.59,0.4%,1.0%,48.5%,"$1,629,271,450","$11,668,223,560"
