Image,Name,Ticker,Price,Price Change 1h,Price Change 24h,Price Change 7d,24h Volume,Market Cap
https://assets.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,Bitcoin BTC,BTC,"$104,625",0.1%,0.9%,9.6%,"$26,618,848,192","$2,077,918,892,906"
https://assets.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,Ethereum ETH,ETH,"$2,517.78",0.3%,4.6%,37.7%,"$31,778,877,463","$304,089,419,421"
https://assets.coingecko.com/coins/images/325/standard/Tether.png?1696501661,Tether USDT,USDT,$1.00,0.0%,0.0%,0.0%,"$44,532,176,106","$149,896,576,646"
https://assets.coingecko.com/coins/images/44/standard/xrp-symbol-white-128.png?1696501442,XRP XRP,XRP,$2.38,0.1%,0.8%,8.6%,"$4,535,177,160","$139,242,613,883"
https://assets.coingecko.com/coins/images/825/standard/bnb-icon2_2x.png?1696501970,BNB BNB,BNB,$657.46,0.2%,0.7%,10.6%,"$1,312,037,564","$95,934,017,586"
https://assets.coingecko.com/coins/images/4128/standard/solana.png?1718769756,Solana SOL,SOL,$173.94,0.3%,1.9%,19.5%,"$5,353,910,432","$90,309,196,475"
https://assets.coingecko.com/coins/images/6319/standard/usdc.png?1696506694,USDC USDC,USDC,$1,0.0%,0.0%,0.0%,"$10,759,666,582","$60,800,223,979"
https://assets.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,Dogecoin DOGE,DOGE,$0.2339,0.1%,3.9%,34.1%,"$4,355,006,516","$34,911,462,805"
https://assets.coingecko.com/coins/images/975/standard/cardano.png?1696502090,Cardano ADA,ADA,$0.8009,0.1%,0.3%,16.1%,"$1,389,232,837","$28,856,826,035"
https://assets.coingecko.com/coins/images/1094/standard/tron-logo.png?1696502193,TRON TRX,TRX,$0.262,0.3%,0.7%,5.8%,"$1,146,984,585","$24,859,757,610"
https://assets.coingecko.com/coins/images/13442/standard/steth_logo.png?1696513206,Lido Staked Ether STETH,STETH,"$2,515.09",0.4%,4.6%,37.5%,"$61,199,459","$22,985,193,656"
https://assets.coingecko.com/coins/images/7598/standard/wrapped_bitcoin_wbtc.png?1696507857,Wrapped Bitcoin WBTC,WBTC,"$104,574",0.1%,0.9%,9.7%,"$328,573,719","$13,470,167,596"
https://assets.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,Sui SUI,SUI,$3.99,0.3%,2.3%,22.7%,"$2,071,857,984","$13,301,848,005"
https://assets.coingecko.com/coins/images/877/standard/chainlink-new-logo.png?1696502009,Chainlink LINK,LINK,$16.66,0.0%,2.3%,18.4%,"$759,917,725","$10,928,263,066"
https://assets.coingecko.com/coins/images/18834/standard/wstETH.png?1696518295,Wrapped stETH WSTETH,WSTETH,"$3,029.69",0.4%,4.7%,37.7%,"$112,263,348","$10,454,957,896"
https://assets.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,Avalanche AVAX,AVAX,$24.75,0.4%,1.7%,23.1%,"$653,704,461","$10,346,992,582"
https://assets.coingecko.com/coins/images/100/standard/fmpFRHHQ_400x400.jpg?1735231350,Stellar XLM,XLM,$0.3071,0.0%,2.2%,14.3%,"$357,152,614","$9,529,871,255"
https://assets.coingecko.com/coins/images/11939/standard/shiba.png?1696511800,Shiba Inu SHIB,SHIB,$0.00001608,0.1%,2.2%,24.1%,"$606,393,502","$9,469,747,838"
https://assets.coingecko.com/coins/images/3688/standard/hbar.png?1696504364,Hedera HBAR,HBAR,$0.2084,0.1%,0.8%,16.4%,"$325,988,680","$8,800,254,991"
https://assets.coingecko.com/coins/images/17980/standard/photo_2024-09-10_17.09.00.jpeg?1725963446,Toncoin TON,TON,$3.43,0.3%,2.3%,10.4%,"$246,426,131","$8,535,730,174"
https://assets.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,Hyperliquid HYPE,HYPE,$24.81,0.0%,1.8%,18.9%,"$183,753,372","$8,289,219,632"
https://assets.coingecko.com/coins/images/780/standard/bitcoin-cash-circle.png?1696501932,Bitcoin Cash BCH,BCH,$412.17,0.4%,1.2%,15.2%,"$281,374,324","$8,186,633,544"
https://assets.coingecko.com/coins/images/39926/standard/usds.webp?1726666683,USDS USDS,USDS,$0.9998,0.0%,0.0%,0.0%,"$12,843,262","$7,787,879,524"
https://static.coingecko.com/s/polkadot-73b0c058cae10a2f076a82dcade5cbe38601fad05d5e6211188f09eb96fa4617.gif,Polkadot DOT,DOT,$5.08,0.3%,0.9%,28.2%,"$408,336,259","$7,734,411,418"
https://assets.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,Pi Network PI,PI,$1.14,4.6%,57.7%,92.0%,"$944,765,610","$7,725,300,937"
https://assets.coingecko.com/coins/images/8418/standard/leo-token.png?1696508607,LEO Token LEO,LEO,$8.34,0.1%,4.5%,7.9%,"$8,049,619","$7,701,134,753"
https://assets.coingecko.com/coins/images/2/standard/litecoin.png?1696501400,Litecoin LTC,LTC,$101.26,0.3%,0.5%,17.9%,"$635,442,830","$7,679,203,903"
https://assets.coingecko.com/coins/images/2518/standard/weth.png?1696503332,WETH WETH,WETH,"$2,515.29",0.5%,4.5%,37.5%,"$504,426,697","$6,879,163,261"
https://assets.coingecko.com/coins/images/69/standard/monero_logo.png?1696501460,Monero XMR,XMR,$329.63,0.2%,2.3%,24.1%,"$99,406,063","$6,087,587,588"
https://assets.coingecko.com/coins/images/33033/standard/weETH.png?1701438396,Wrapped eETH WEETH,WEETH,"$2,689.57",0.4%,4.5%,37.7%,"$17,272,149","$5,904,086,275"
https://assets.coingecko.com/coins/images/11610/standard/Bitget_logo.png?1736925727,Bitget Token BGB,BGB,$4.90,0.3%,1.0%,13.1%,"$329,527,021","$5,721,384,514"
https://assets.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,Pepe PEPE,PEPE,$0.0000133,0.9%,3.7%,61.5%,"$2,085,266,415","$5,593,504,953"
https://assets.coingecko.com/coins/images/35021/standard/USDT.png?1707233575,Binance Bridged USDT (BNB Smart Chain) BSC-USD,BSC-USD,$1.00,0.0%,0.1%,0.1%,"$60,213,132","$5,190,536,416"
https://assets.coingecko.com/coins/images/40143/standard/cbbtc.webp?1726136727,Coinbase Wrapped BTC CBBTC,CBBTC,"$104,550",0.1%,0.9%,9.5%,"$422,309,509","$4,769,832,224"
https://assets.coingecko.com/coins/images/33613/standard/usde.png?1733810059,Ethena USDe USDE,USDE,$1.00,0.0%,0.0%,0.0%,"$96,600,578","$4,662,158,585"
https://assets.coingecko.com/coins/images/27045/standard/wbt_token.png?1696526096,WhiteBIT Coin WBT,WBT,$30.28,0.3%,0.0%,5.9%,"$18,933,924","$4,371,793,688"
https://assets.coingecko.com/coins/images/12504/standard/uniswap-logo.png?1720676669,Uniswap UNI,UNI,$7.06,1.4%,7.3%,38.9%,"$565,219,165","$4,235,774,314"
https://assets.coingecko.com/coins/images/28452/standard/ARUsPeNQ_400x400.jpeg?1696527447,Bittensor TAO,TAO,$454.11,0.6%,2.4%,30.4%,"$131,705,375","$3,980,075,366"
https://assets.coingecko.com/coins/images/10365/standard/near.jpg?1696510367,NEAR Protocol NEAR,NEAR,$3.18,0.5%,8.3%,33.2%,"$379,227,761","$3,846,837,734"
https://assets.coingecko.com/coins/images/26455/standard/aptos_round.png?1696525528,Aptos APT,APT,$5.98,0.7%,4.7%,15.7%,"$325,283,708","$3,709,569,931"
